date,txVolume(USD),txCount,marketcap(USD),price(USD),exchangeVolume(USD),generatedCoins,fees
2013-11-10,3778182.476,7354,99112700,3.93,0,34050,99.94646535
2013-11-11,3283634.452,5092,89534800,4,0,32350,62.02837807
2013-11-12,2506697.464,4471,91997300,3.98,0,29450,74.43925157
2013-11-13,2242367.304,4357,92196100,4.11,0,28150,101.1015698
2013-11-14,3070709.407,4891,94403200,4.29,0,27950,145.656259
2013-11-15,5259867.909,5411,98318100,4.21,0,28750,137.1084753
2013-11-16,460498026.6,6679,96603200,4.3,0,30000,111.1880462
2013-11-17,487659724.3,5925,99881500,4.09,0,31100,88.14567576
2013-11-18,905705336,6821,95311600,9.37,0,31000,110.1885519
2013-11-19,592656572.1,10864,217921000,8.03,0,29550,163.5899799
2013-11-20,546590233.1,11173,184464000,7.98,0,32900,191.3409132
2013-11-21,515062221,8223,185795000,9.35,0,31750,103.6192957
2013-11-22,651881205.6,7655,217402000,10.13,0,29700,99.96368728
2013-11-23,823803887.5,7871,235214000,10.61,0,28800,104.7737417
2013-11-24,319010425.2,9034,246542000,10.41,0,30900,118.0273361
2013-11-25,328723449.9,7709,240567000,12.27,0,30750,150.1248157
2013-11-26,633541489.9,7688,288874000,20.35,0,30100,93.05467638
2013-11-27,1687271458,13768,465273000,39.04,0,29250,230.3791337
2013-11-28,1916929523,16755,912390000,43.39,0,28700,255.0934707
2013-11-29,4244473276,20038,1039720000,37.74,0,33400,292.2446551
2013-11-30,4054335376,14723,866912000,40.47,0,34000,199.2718958
2013-12-01,2553126411,14063,953397000,34.74,0,30500,204.8440949
2013-12-02,1222751632,13432,811082000,33.18,0,32300,186.3693057
2013-12-03,1452678646,13700,785826000,39.79,0,33100,175.2013521
2013-12-04,1198607493,12622,927859000,44.73,0,33450,149.2206163
2013-12-05,845714638.9,13900,1052120000,37.75,0,30950,172.3175823
2013-12-06,1261175903,13894,886330000,29.84,0,30850,175.8846291
2013-12-07,760694219.6,11110,704611000,23.29,0,36150,125.1180281
2013-12-08,1270000585,11743,549989000,27.27,0,33050,139.9172492
2013-12-09,357947936.8,10731,646640000,31.57,0,35600,122.1698335
2013-12-10,628044897.1,13456,749614000,36.29,0,35000,160.6875264
2013-12-11,731460926.7,13056,864654000,30.98,0,29300,253.1558298
2013-12-12,572731836.5,13795,745197000,31.59,0,31950,165.4893746
2013-12-13,385325216.3,11673,756153000,31.2,0,33300,131.7532917
2013-12-14,604309746.2,11463,752325000,30.38,0,29550,157.1898824
2013-12-15,122220675.9,10123,729656000,31.28,0,32400,107.9011263
2013-12-16,400717144.8,11553,752925000,24.64,0,29400,123.1519983
2013-12-17,876881049.1,13934,586726000,21.97,0,29850,101.8099627
2013-12-18,350268865.3,15346,525407000,13.39,0,30700,118.836574
2013-12-19,1586162270,16393,323026000,19.91,0,31150,132.318266
2013-12-20,2544095227,13114,478564000,17.57,0,27900,94.18700161
2013-12-21,2293722852,12851,417609000,16.73,0,25700,92.81255358
2013-12-22,266351682,10161,401059000,16.86,0,27150,59.98649627
2013-12-23,391154960,8679,404707000,17.89,0,25050,46.43699111
2013-12-24,978818544,9901,431173000,17.64,0,26800,56.39904682
2013-12-25,1084400385,9987,427762000,21.15,0,27350,55.24048784
2013-12-26,195717749.6,11027,525226000,24.76,0,29000,53.94154685
2013-12-27,400596736.3,12311,602608000,23.27,31112200,28250,159.8607036
2013-12-28,1093258648,11457,564204000,22.56,11003700,31450,61.29477402
2013-12-29,239566844.9,9597,549577000,24.07,11384200,33750,45.86795354
2013-12-30,240934583.7,9335,582721000,24.38,12439600,30650,37.21565064
2013-12-31,357010706.3,11628,598381000,24.35,7446870,30000,48.92259521
