close,high,low,open,vol,utc
14577.5,14938.83,14485.29,14549.19,7071.3,12/10/17 18:00
15059.6,15783.2,14568.98,14570.72,17898.36,12/10/17 19:00
15377.91,15424.58,15024.56,15060.45,6670.24,12/10/17 20:00
16010.64,16038.88,15360.68,15375.32,11061.89,12/10/17 21:00
16325.75,16325.75,15876.51,16008.42,9345.7,12/10/17 22:00
16317.97,16655.12,16096.43,16323.65,12714.65,12/10/17 23:00
16251.77,16546.09,16020.23,16313.6,9194.72,12/11/17 0:00
16279.12,16443.15,16208.55,16255.37,4593.59,12/11/17 1:00
16719.11,16745.86,16265.61,16277.88,6987.68,12/11/17 2:00
16657.51,16745.17,16562.44,16719.11,4727.2,12/11/17 3:00
16523.02,16752.34,16464.75,16657.51,5471.17,12/11/17 4:00
16542.03,16575.69,16417.89,16522.38,5184.84,12/11/17 5:00
16661.63,16716.27,16535.69,16541.25,2320,12/11/17 6:00
16422.77,16678.83,16420.96,16663.14,2738.86,12/11/17 7:00
16493.87,16611.44,16422.91,16423.62,3699.33,12/11/17 8:00
16373.93,16539.37,16136.03,16489.71,6924.04,12/11/17 9:00
16330.42,16521.35,16243.49,16372.85,5964.28,12/11/17 10:00
16487.79,16548.38,16311.92,16321.62,4790.33,12/11/17 11:00
16451.25,16554.3,16365.81,16488.88,5168.98,12/11/17 12:00
16375.15,16457,16342.24,16452.26,4125.92,12/11/17 13:00
16562.52,16573.1,16368.22,16374.97,5355.93,12/11/17 14:00
17002.39,17008.17,16532.37,16561.82,7073.25,12/11/17 15:00
17239.12,17399.18,16980.84,17003.69,13748.61,12/11/17 16:00
17189.84,17276.3,16969.72,17239.12,7914.99,12/11/17 17:00
16951.57,17202.79,16900.1,17202.79,6837.91,12/11/17 18:00
16732.47,16983.65,16648.85,16948.29,7111.5,12/11/17 19:00
16721.48,16782.53,16548.39,16733.29,7133.15,12/11/17 20:00
16913.58,16925.21,16595.32,16718.77,5723.98,12/11/17 21:00
16714.26,16951.23,16648.7,16914.17,5684.34,12/11/17 22:00
16389.11,16723.13,16323.93,16710.45,8274.78,12/11/17 23:00
16300.73,16482.98,16290.76,16391.91,5679.03,12/12/17 0:00
16553.34,16566.3,16254.53,16297.09,5433.72,12/12/17 1:00
16571.52,16579.67,16392.96,16554.62,3299.29,12/12/17 2:00
16782.82,16797.85,16501.81,16573.06,5223.68,12/12/17 3:00
16882.54,16950.45,16776.27,16782.82,5333.26,12/12/17 4:00
16867.08,16977.98,16850.8,16879.61,3671.27,12/12/17 5:00
16714.3,16868.82,16689.17,16866.98,3999.71,12/12/17 6:00
16770.5,16837.66,16690.31,16713.91,3799.81,12/12/17 7:00
16728.25,16800.61,16619.64,16770.06,6200.81,12/12/17 8:00
17184.13,17194.2,16700.77,16728.25,8158.64,12/12/17 9:00
16941.15,17185.65,16927.15,17184.13,4291.33,12/12/17 10:00
17069.31,17070.57,16818.78,16941.76,5626.86,12/12/17 11:00
17052.31,17127.85,16997.25,17069.97,4778.72,12/12/17 12:00
17176.41,17195.64,16985.84,17052.31,4936.89,12/12/17 13:00
17328.63,17560.65,17152.8,17180.38,8199.6,12/12/17 14:00
17349.26,17410.52,17212.79,17328.8,5499.39,12/12/17 15:00
17123.82,17446.79,17117.72,17337.65,5384.57,12/12/17 16:00
17136.65,17226.38,17041.66,17124.96,5031.1,12/12/17 17:00
17260.83,17356.5,17121.76,17138.88,5347.53,12/12/17 18:00
17083.9,17283.88,16978.84,17253.25,6136.89,12/12/17 19:00
17243.91,17267.96,17069.51,17083.9,5194.81,12/12/17 20:00
17014.86,17256.17,16918.4,17245.73,6236.22,12/12/17 21:00
16537.88,17103.89,16271.95,17014.46,11295.74,12/12/17 22:00
16560.33,16692.3,16465.98,16537.88,6851.48,12/12/17 23:00
16558.46,16582.46,16365.6,16559.07,5831.67,12/13/17 0:00
16829.71,16884.29,16553.12,16558.47,6329.11,12/13/17 1:00
16766.61,16830.12,16629.79,16829.7,3502.99,12/13/17 2:00
16700.11,16787.2,16658.47,16766.61,3539.37,12/13/17 3:00
16728.16,16784.34,16589.36,16700.89,4169.18,12/13/17 4:00
16744.85,16747.6,16652.92,16728.16,3515.66,12/13/17 5:00
16724.49,16804.33,16695.93,16744.52,4567.21,12/13/17 6:00
16722.75,16798.1,16696.41,16725.6,3286.43,12/13/17 7:00
17052.08,17180.13,16717.42,16722.75,6692.33,12/13/17 8:00
17004.24,17143.67,16970.38,17052.08,4579.19,12/13/17 9:00
16947.75,17128.14,16939.8,16999.14,4925.56,12/13/17 10:00
16858.53,17067.69,16858.2,16947.75,5275.21,12/13/17 11:00
16616.65,16869.46,16537.21,16859.2,7557.82,12/13/17 12:00
16381.97,16621.6,16232.18,16616.65,12097.44,12/13/17 13:00
16175.49,16383.57,15669.86,16377.25,17522.76,12/13/17 14:00
16371.81,16397,16041.42,16176.05,8692.27,12/13/17 15:00
16153.66,16430.02,16147.65,16369.59,6276.79,12/13/17 16:00
16642.93,16642.96,16149.55,16153.65,6854.04,12/13/17 17:00
16408.81,16667.45,16378.54,16642.93,5096.68,12/13/17 18:00
16286.82,16465.69,16141.25,16408.81,5519.22,12/13/17 19:00
16498.44,16500.56,16206.09,16286.82,4340.26,12/13/17 20:00
16317.88,16504.06,16214.02,16497.72,4038.79,12/13/17 21:00
16095.8,16332.72,16023.64,16317.88,6759.75,12/13/17 22:00
16154.64,16182.76,16048.37,16095.43,4340.51,12/13/17 23:00
16400.61,16476.65,16145.3,16159.69,6605.88,12/14/17 0:00
16282.44,16438.22,16205.62,16408.65,5812.58,12/14/17 1:00
16247.92,16428.77,16243.41,16282.23,4583.85,12/14/17 2:00
16538.7,16540.62,16194.32,16247.92,3990.74,12/14/17 3:00
16653.74,16941.08,16531.7,16540.62,8943.74,12/14/17 4:00
16414.97,16725.65,16407.01,16653.31,3866.39,12/14/17 5:00
