close,volbtc,bb_up,bb_mid,bb_low,rsi,close_lag1,bb_low_lag1,bb_up_lag1,close_lag2,bb_low_lag2,bb_up_lag2,rsi_lag1,rsi_lag2,bb_sig
902.08,914.721954,912.6268069,906.5742857,900.5217646,44.72577981,904.85,899.8418944,912.8323914,902.82,900.2032008,913.0710849,48.89912106,45.71744674,0
910.8,1179.798723,913.7210199,907.5414286,901.3618372,57.9167242,902.08,900.5217646,912.6268069,904.85,899.8418944,912.8323914,44.72577981,48.89912106,0
907,1028.50431,911.1590807,906.5114286,901.8637764,51.65003975,910.8,901.3618372,913.7210199,902.08,900.5217646,912.6268069,57.9167242,44.72577981,0
911.4,997.809654,912.0694453,906.8628571,901.656269,57.81595967,907,901.8637764,911.1590807,910.8,901.3618372,913.7210199,51.65003975,57.9167242,0
912.45,514.2579471,913.2614371,907.3428571,901.4242772,59.26233596,911.4,901.656269,912.0694453,907,901.8637764,911.1590807,57.81595967,51.65003975,0
920.94,530.8405901,918.4639687,909.9314286,901.3988884,69.21843134,912.45,901.4242772,913.2614371,911.4,901.656269,912.0694453,59.26233596,57.81595967,0
916.22,500.6313894,919.9984469,911.5557143,903.1129817,59.74747978,920.94,901.3988884,918.4639687,912.45,901.4242772,913.2614371,69.21843134,59.26233596,0
869.9,2284.731964,930.4662392,906.9585714,883.4509037,23.27926617,916.22,903.1129817,919.9984469,920.94,901.3988884,918.4639687,59.74747978,69.21843134,0
846.92,1664.539422,936.8087646,897.8328571,858.8569497,17.20206362,869.9,883.4509037,930.4662392,916.22,903.1129817,919.9984469,23.27926617,59.74747978,0
822.04,3418.745968,940.5329863,885.6957143,830.8584422,12.93633797,846.92,858.8569497,936.8087646,869.9,883.4509037,930.4662392,17.20206362,23.27926617,1
805.02,2069.141955,936.5829969,870.4985714,804.414146,10.79908758,822.04,830.8584422,940.5329863,846.92,858.8569497,936.8087646,12.93633797,17.20206362,1
770.75,3355.411137,928.2147733,850.2557143,772.2966553,7.779753221,805.02,804.414146,936.5829969,822.04,830.8584422,940.5329863,10.79908758,12.93633797,0
809.51,2151.955121,900.9341354,834.3371429,767.7401503,32.63319546,770.75,772.2966553,928.2147733,805.02,804.414146,936.5829969,7.779753221,10.79908758,0
791.04,1246.941153,862.9630567,816.4542857,769.9455148,28.38096033,809.51,767.7401503,900.9341354,770.75,772.2966553,928.2147733,32.63319546,7.779753221,0
