volbtc_lag1,rsi_lag1,signal
885.9644933,46.60687748,0
867.5494367,44.03279792,0
754.2543012,39.00925822,0
491.5127138,36.91451907,1
294.5868201,36.2982699,1
630.3585925,36.68952687,0
923.2898848,40.81765359,0
1055.981733,39.87623471,0
593.9786179,41.98238648,0
384.9853407,45.03797808,0
348.479858,49.09392675,0
685.8319016,49.90367411,0
790.7189803,51.7960135,0
635.4545654,52.94453508,0
757.9284759,44.44352469,0
339.7800319,43.31695357,0
283.0701727,40.59167181,1
537.5763296,28.73780287,1
692.6527998,31.83350423,1
531.6155994,31.95288256,0
468.4566483,32.33572488,0
261.0837261,35.17250061,0
255.0903463,36.96758432,0
518.6588454,39.97971233,0
603.9701522,44.2616139,0
530.0593737,50.53411532,0
1019.140337,52.46565875,0
575.7585257,45.11069823,0
370.0886199,47.6838528,0
803.6068147,46.28822585,0
1132.524072,43.84561653,0
748.7175579,43.55252021,0
918.8773089,43.64267871,0
585.0224184,53.48401657,0
353.2907951,56.32215457,0
667.8501918,52.62051965,0
782.4633417,50.49952924,0
895.01834,49.93753786,0
779.3027497,44.79865468,0
392.5567166,42.54666202,0
422.0076049,39.75551817,1
870.7338224,38.99215985,1
1145.466649,34.68837179,1
859.5037375,45.72192979,0
825.9701659,46.13715815,0
700.1410762,39.97813991,0
505.8060762,42.54023682,0
892.5649295,37.43672538,0
1335.368583,45.71436287,0
947.7945692,49.30801664,0
618.1149957,43.18156464,0
402.0756984,44.03840137,0
342.420999,50.1616081,0
1293.278005,58.2718729,0
1265.588871,54.54176809,0
918.6979345,58.33702126,0
629.2567751,55.24911349,0
412.5007565,58.41814053,0
236.1614456,57.70260811,0
525.0097183,58.55007304,0
1759.685259,82.26953058,0
1163.662298,84.74459517,0
701.816439,77.68232822,0
355.8612313,78.53231912,0
480.2662867,81.51454758,0
1491.238462,85.00085965,0
955.6986658,79.57435937,0
647.8977549,80.50807261,0
436.3110011,75.97343262,0
303.3703811,75.97965922,0
408.5701709,65.85289294,0
644.9097118,67.97990213,0
603.5007538,68.88836212,0
660.2982229,65.20872954,0
618.3824494,65.75643025,0
351.3712352,68.85925113,0
414.8287133,65.59212887,0
939.7379088,68.04599091,0
1133.191578,69.19666326,0
748.465801,70.36433143,0
854.2028628,68.83754908,0
501.8273591,65.17367566,0
492.5034581,67.77725074,0
692.8487871,69.42862646,0
1176.333077,69.62085435,0
1004.393797,70.15969228,0
648.7482762,70.8555699,0
428.5733412,70.73713751,0
1165.054215,82.1116632,0
1122.410656,77.56205984,0
1035.694088,74.37912612,0
847.5718345,75.50000314,0
650.5433386,71.66425205,0
845.6004148,63.71154846,0
372.6090069,61.19692575,0
798.6386436,61.19692575,0
912.2825166,58.53783739,0
964.3087459,61.56745459,0
564.9376424,60.28934253,0
326.0850679,61.50018364,0
193.3036012,63.57531218,0
659.6469367,59.65565775,0
405.901685,63.73299919,0
697.9161866,60.99116116,0
440.4167128,61.56904451,0
362.7735683,61.58560808,0
256.70635,63.69214091,0
367.2847189,64.04882304,0
1788.487243,31.61012788,0
1093.498971,36.26878475,1
584.3691275,37.09702858,0
480.0173179,37.09702858,0
401.3977296,34.47756236,0
607.5981304,35.47087776,0
1200.715423,34.71149639,0
745.9606275,36.77824677,0
814.9333807,40.49380297,0
417.0286291,38.96317099,0
336.2888403,40.31298599,0
600.3586316,40.33666825,0
941.7601762,42.0934354,0
814.8097058,41.92491684,0
523.8454458,42.93634917,0
321.0422991,44.0425962,0
265.6751079,43.57605442,0
783.9160067,46.93573106,0
1059.093149,45.36336996,0
828.2096748,42.14502786,0
529.1896217,40.04890031,1
447.9314855,42.59356109,0
233.51516,44.04992353,0
731.6266832,44.56706055,0
1167.072202,39.38645825,0
890.2331565,35.66942809,1
731.4396743,38.19817915,0
427.9311945,43.66056635,0
517.7248717,40.84082495,0
