volbtc,rsi_lag1,rsi_lag2,signal
2105.887315,52.32977142,44.70192988,0
1997.355195,60.45436352,52.32977142,0
1077.121604,60.27453151,60.45436352,0
1440.833666,62.77026739,60.27453151,0
1201.476448,67.27658948,62.77026739,0
645.8279868,62.54113793,67.27658948,0
1231.849442,63.49796769,62.54113793,0
1206.04791,59.30971091,63.49796769,0
1132.999785,60.40531179,59.30971091,0
622.6339924,60.98805718,60.40531179,0
462.9131052,62.22087145,60.98805718,0
992.6406168,62.1690578,62.22087145,0
976.4989225,67.73023425,62.1690578,0
906.5851311,66.78574741,67.73023425,0
1164.055669,69.32188343,66.78574741,0
1489.762587,72.58244401,69.32188343,0
685.6987077,60.64644275,72.58244401,0
790.1509569,55.83552881,60.64644275,0
1610.113518,53.69573184,55.83552881,0
1224.741232,41.20254332,53.69573184,1
768.1410631,48.77956166,41.20254332,0
1013.06752,45.33043194,48.77956166,0
648.1314588,50.80440513,45.33043194,0
558.7807427,51.44474721,50.80440513,0
722.7862243,49.65846401,51.44474721,0
739.5917706,51.2110181,49.65846401,0
762.8139364,52.18419407,51.2110181,0
708.6733678,54.6719236,52.18419407,0
699.4714809,53.80959112,54.6719236,0
689.2223001,49.2782075,53.80959112,0
934.4277576,49.82175468,49.2782075,0
1035.514391,48.02375662,49.82175468,0
1044.908993,47.22125115,48.02375662,0
1254.008433,46.92362116,47.22125115,0
561.8079997,53.88305428,46.92362116,0
451.9727384,48.528572,53.88305428,0
1052.063639,49.07573335,48.528572,0
1120.716225,49.68249593,49.07573335,0
1276.993446,51.63841757,49.68249593,0
1282.781371,53.8126156,51.63841757,0
2859.128535,49.93572996,53.8126156,0
815.4070182,32.25226088,49.93572996,0
1778.609522,36.68856574,32.25226088,1
3110.47079,32.98945311,36.68856574,1
2471.832424,27.28214045,32.98945311,1
2204.975606,40.19610509,27.28214045,0
1616.742295,40.2843807,40.19610509,0
1745.983807,41.88938524,40.2843807,0
2537.154883,41.83276286,41.88938524,0
1857.863113,45.614572,41.83276286,0
2776.120839,48.72487877,45.614572,0
2315.842899,54.44107471,48.72487877,0
1099.702288,49.20720978,54.44107471,0
973.9613317,49.43902672,49.20720978,0
