close,volbtc,bb_high,bb_mid,bb_low,rsi,close_lag1,bb_low_lag1,bb_mid_lag1,bb_high_lag1,close_lag2,bb_low_lag2,bb_mid_lag2,bb_high_lag2,rsi_lag1,rsi_lag2,signal
683.76,907.9508945,689.7693537,681.7028571,673.6363606,62.50129374,681.75,673.4517439,683.0014286,692.5511132,683.71,674.1197656,683.0014286,694.9230916,61.74196878,62.89516709,0
689.51,1596.845665,689.5917581,681.6371429,673.6825276,64.6620364,683.76,673.6363606,681.7028571,689.7693537,681.75,673.4517439,681.7028571,692.5511132,62.50129374,61.74196878,0
694.51,1990.972241,691.4881522,685.3671429,679.2461335,66.47125445,689.51,673.6825276,681.6371429,689.5917581,683.76,673.6363606,681.6371429,689.7693537,64.6620364,62.50129374,0
698.78,1442.70616,695.8370193,688.1385714,680.4401236,67.97899596,694.51,679.2461335,685.3671429,691.4881522,689.51,673.6825276,685.3671429,689.5917581,66.47125445,64.6620364,0
732.92,4999.613512,716.4763408,694.9914286,673.5065163,76.91672727,698.78,680.4401236,688.1385714,695.8370193,694.51,679.2461335,688.1385714,691.4881522,67.97899596,66.47125445,0
736.84,1746.956306,730.0829115,702.5814286,675.0799456,77.6868509,732.92,673.5065163,694.9914286,716.4763408,698.78,680.4401236,694.9914286,695.8370193,76.91672727,67.97899596,0
737.56,1853.151187,739.528838,710.5542857,681.5797334,77.83313544,736.84,675.0799456,702.5814286,730.0829115,732.92,673.5065163,702.5814286,716.4763408,77.6868509,76.91672727,0
741.65,2154.633706,746.8253346,718.8242857,690.8232368,78.6878864,737.56,681.5797334,710.5542857,739.528838,736.84,675.0799456,710.5542857,730.0829115,77.83313544,77.6868509,0
768.5,3348.862117,761.0466365,730.1085714,699.1705063,83.25321829,741.65,690.8232368,718.8242857,746.8253346,737.56,681.5797334,718.8242857,739.528838,78.6878864,77.83313544,0
769.76,2711.122462,769.7634764,740.8585714,711.9536665,83.43257261,768.5,699.1705063,730.1085714,761.0466365,741.65,690.8232368,730.1085714,746.8253346,83.25321829,78.6878864,0
774.42,1640.922448,773.6330394,751.6642857,729.6955321,84.11036167,769.76,711.9536665,740.8585714,769.7634764,768.5,699.1705063,740.8585714,761.0466365,83.43257261,83.25321829,0
743.05,4378.379596,773.413567,753.1114286,732.8092901,64.87056615,774.42,729.6955321,751.6642857,773.6330394,769.76,711.9536665,751.6642857,769.7634764,84.11036167,83.43257261,0
743.23,1318.80574,773.2706301,754.0242857,734.7779413,64.92015127,743.05,732.8092901,753.1114286,773.413567,774.42,729.6955321,753.1114286,773.6330394,64.87056615,84.11036167,0
748.86,1804.759587,773.1603276,755.6385714,738.1168153,66.51230854,743.23,734.7779413,754.0242857,773.2706301,743.05,732.8092901,754.0242857,773.413567,64.92015127,64.87056615,0
759.75,2369.35142,774.11614,758.2242857,742.3324314,69.40488296,748.86,738.1168153,755.6385714,773.1603276,743.23,734.7779413,755.6385714,773.2706301,66.51230854,64.92015127,0
752.26,2498.109857,770.9558813,755.9042857,740.8526902,65.23143606,759.75,742.3324314,758.2242857,774.11614,748.86,738.1168153,758.2242857,773.1603276,69.40488296,66.51230854,0
743.41,1882.056461,766.0663263,752.14,738.2136737,60.59496512,752.26,740.8526902,755.9042857,770.9558813,759.75,742.3324314,755.9042857,774.11614,65.23143606,69.40488296,0
748.46,757.0874491,755.7883241,748.4314286,741.074533,62.24407105,743.41,738.2136737,752.14,766.0663263,752.26,740.8526902,752.14,770.9558813,60.59496512,65.23143606,0
