close,volbtc,bb_up,bb_mid,bb_low,rsi,close_lag1,bb_low_lag1,bb_up_lag1,close_lag2,bb_low_lag2,bb_up_lag2,rsi_lag1,bb_sig
904.03,289.0241363,909.9083338,903.0828571,896.2573805,48.2500887,900.42,893.7831529,909.7768471,906.95,893.9907746,909.9035111,46.50694473,0
914.21,285.6991199,912.7869938,905.8271429,898.867292,52.91011866,904.03,896.2573805,909.9083338,900.42,893.7831529,909.7768471,48.2500887,0
908.94,299.0736089,913.4994818,906.8185714,900.1376611,50.38086582,914.21,898.867292,912.7869938,904.03,896.2573805,909.9083338,52.91011866,0
909.09,324.6517345,913.9689767,907.7371429,901.505309,50.45346506,908.94,900.1376611,913.4994818,914.21,898.867292,912.7869938,50.38086582,0
902.82,720.6934562,913.0710849,906.6371429,900.2032008,47.33577189,909.09,901.505309,913.9689767,908.94,900.1376611,913.4994818,50.45346506,0
904.85,804.6087626,912.8323914,906.3371429,899.8418944,48.44651489,902.82,900.2032008,913.0710849,909.09,901.505309,913.9689767,47.33577189,0
902.08,914.721954,912.6268069,906.5742857,900.5217646,46.99014054,904.85,899.8418944,912.8323914,902.82,900.2032008,913.0710849,48.44651489,0
910.8,1179.798723,913.7210199,907.5414286,901.3618372,51.89290481,902.08,900.5217646,912.6268069,904.85,899.8418944,912.8323914,46.99014054,0
907,1028.50431,911.1590807,906.5114286,901.8637764,49.73420938,910.8,901.3618372,913.7210199,902.08,900.5217646,912.6268069,51.89290481,0
911.4,997.809654,912.0694453,906.8628571,901.656269,52.2130384,907,901.8637764,911.1590807,910.8,901.3618372,913.7210199,49.73420938,0
912.45,514.2579471,913.2614371,907.3428571,901.4242772,52.81108544,911.4,901.656269,912.0694453,907,901.8637764,911.1590807,52.2130384,0
920.94,530.8405901,918.4639687,909.9314286,901.3988884,57.44819148,912.45,901.4242772,913.2614371,911.4,901.656269,912.0694453,52.81108544,0
916.22,500.6313894,919.9984469,911.5557143,903.1129817,54.25610503,920.94,901.3988884,918.4639687,912.45,901.4242772,913.2614371,57.44819148,0
869.9,2284.731964,930.4662392,906.9585714,883.4509037,34.18285042,916.22,903.1129817,919.9984469,920.94,901.3988884,918.4639687,54.25610503,0
846.92,1664.539422,936.8087646,897.8328571,858.8569497,28.54118488,869.9,883.4509037,930.4662392,916.22,903.1129817,919.9984469,34.18285042,1
822.04,3418.745968,940.5329863,885.6957143,830.8584422,23.93521201,846.92,858.8569497,936.8087646,869.9,883.4509037,930.4662392,28.54118488,1
805.02,2069.141955,936.5829969,870.4985714,804.414146,21.39193687,822.04,830.8584422,940.5329863,846.92,858.8569497,936.8087646,23.93521201,1
770.75,3355.411137,928.2147733,850.2557143,772.2966553,17.3860684,805.02,804.414146,936.5829969,822.04,830.8584422,940.5329863,21.39193687,0
809.51,2151.955121,900.9341354,834.3371429,767.7401503,32.72958855,770.75,772.2966553,928.2147733,805.02,804.414146,936.5829969,17.3860684,1
791.04,1246.941153,862.9630567,816.4542857,769.9455148,29.88156925,809.51,767.7401503,900.9341354,770.75,772.2966553,928.2147733,32.72958855,0
795.77,930.966574,839.4813887,805.8642857,772.2471827,31.52485937,791.04,769.9455148,862.9630567,809.51,767.7401503,900.9341354,29.88156925,0
786.48,2157.727599,820.4970619,797.23,773.9629381,30.03596822,795.77,772.2471827,839.4813887,791.04,769.9455148,862.9630567,31.52485937,0
789.5,1231.34293,810.3040366,792.5814286,774.8588206,31.17395835,786.48,773.9629381,820.4970619,795.77,772.2471827,839.4813887,30.03596822,0
777.41,800.1829971,806.0537969,788.6371429,771.2204888,29.13116004,789.5,774.8588206,810.3040366,786.48,773.9629381,820.4970619,31.17395835,0
757.95,1794.351967,809.0721081,786.8085714,764.5450348,26.15971462,777.41,771.2204888,806.0537969,789.5,774.8588206,810.3040366,29.13116004,0
764.15,538.9688372,800.3426117,780.3285714,760.3145312,28.65659285,757.95,764.5450348,809.0721081,777.41,771.2204888,806.0537969,26.15971462,1
769.97,650.6615257,796.7553113,777.3185714,757.8818316,31.01476823,764.15,760.3145312,800.3426117,757.95,764.5450348,809.0721081,28.65659285,0
784,817.1248531,792.2607005,775.6371429,759.0135853,36.46661476,769.97,757.8818316,796.7553113,764.15,760.3145312,800.3426117,31.01476823,0
801.25,1002.440396,798.7089879,777.7471429,756.7852979,42.48505954,784,759.0135853,792.2607005,769.97,757.8818316,796.7553113,36.46661476,0
808.51,1632.65804,806.5893028,780.4628571,754.3364115,44.85282018,801.25,756.7852979,798.7089879,784,759.0135853,792.2607005,42.48505954,0
819.83,923.6561984,819.6152784,786.5228571,753.4304359,48.41852485,808.51,754.3364115,806.5893028,801.25,756.7852979,798.7089879,44.85282018,0
834.7,1131.995723,833.6569377,797.4871429,761.317348,52.74121256,819.83,753.4304359,819.6152784,808.51,754.3364115,806.5893028,48.41852485,0
812.25,1396.368825,834.6049785,804.3585714,774.1121643,46.41673377,834.7,761.317348,833.6569377,819.83,753.4304359,819.6152784,52.74121256,0
815.35,661.3157399,832.7275579,810.8414286,788.9552993,47.35550044,812.25,774.1121643,834.6049785,834.7,761.317348,833.6569377,46.41673377,0
800.89,1177.138713,829.568624,813.2542857,796.9399474,43.52497547,815.35,788.9552993,832.7275579,812.25,774.1121643,834.6049785,47.35550044,0
792.52,1422.107679,830.8359727,812.0071429,793.1783131,41.4356602,800.89,796.9399474,829.568624,815.35,788.9552993,832.7275579,43.52497547,0
785.04,739.9531531,832.2985559,808.6542857,785.0100155,39.60593231,792.52,793.1783131,830.8359727,800.89,796.9399474,829.568624,41.4356602,0
803.94,459.2486415,829.0659025,806.3842857,783.7026689,46.08439041,785.04,785.0100155,832.2985559,792.52,793.1783131,830.8359727,39.60593231,0
806.29,1328.310543,817.1473774,802.3257143,787.5040512,46.84785502,803.94,783.7026689,829.0659025,785.04,785.0100155,832.2985559,46.08439041,0
806.2,1311.171511,815.2877686,801.4614286,787.6350886,46.82051053,806.29,787.5040512,817.1473774,803.94,783.7026689,829.0659025,46.84785502,0
822.78,1638.759059,819.0369408,802.5228571,786.0087735,52.339567,806.2,787.6350886,815.2877686,806.29,787.5040512,817.1473774,46.82051053,0
829.65,1264.952363,828.32038,806.6314286,784.9424772,54.44904526,822.78,786.0087735,819.0369408,806.2,787.6350886,815.2877686,52.339567,0
822.1,911.0863028,831.9079539,810.8571429,789.8063318,51.73880163,829.65,784.9424772,828.32038,822.78,786.0087735,819.0369408,54.44904526,0
829.3,680.635508,832.9367516,817.18,801.4232484,54.08591581,822.1,789.8063318,831.9079539,829.65,784.9424772,828.32038,51.73880163,0
831.42,891.3894899,836.0198956,821.1057143,806.1915329,54.78322241,829.3,801.4232484,832.9367516,822.1,789.8063318,831.9079539,54.08591581,0
845.53,933.7174272,843.2317273,826.7114286,810.1911298,59.2221495,831.42,806.1915329,836.0198956,829.3,801.4232484,832.9367516,54.78322241,0
832.01,670.342051,841.1746802,830.3985714,819.6224626,53.77472793,845.53,810.1911298,843.2317273,831.42,806.1915329,836.0198956,59.2221495,0
835.73,494.3571284,842.1936035,832.2485714,822.3035393,55.00120281,832.01,819.6224626,841.1746802,845.53,810.1911298,843.2317273,53.77472793,0
829.92,783.8775078,842.2104845,832.2871429,822.3638012,52.65152657,835.73,822.3035393,842.1936035,832.01,819.6224626,841.1746802,55.00120281,0
834.21,197.3945397,841.7353002,834.0171429,826.2989855,54.20713226,829.92,822.3638012,842.2104845,835.73,822.3035393,842.1936035,52.65152657,0
837.01,248.8160133,842.3688975,835.1185714,827.8682454,55.24075421,834.21,826.2989855,841.7353002,829.92,822.3638012,842.2104845,54.20713226,0
827.5,286.1167097,842.6900675,834.5585714,826.4270754,51.02787924,837.01,827.8682454,842.3688975,834.21,826.2989855,841.7353002,55.24075421,0
836.99,359.8019295,838.435775,833.3385714,828.2413678,54.73748716,827.5,826.4270754,842.6900675,837.01,827.8682454,842.3688975,51.02787924,0
835.43,592.160983,838.953838,833.8271429,828.7004477,54.01318143,836.99,828.2413678,838.435775,827.5,826.4270754,842.6900675,54.73748716,0
836.33,436.2811979,839.1201737,833.9128571,828.7055406,54.38816925,835.43,828.7004477,838.953838,836.99,828.2413678,838.435775,54.01318143,0
